이름,제조회사,모델명,가격,배기량,연식,색상,주행거리,변속기,연료,차종,압류/저당,구동방식,사고유무,전손이력,생산지
쌍용 티볼리 LX 2WD 세부등급 없음,쌍용,티볼리,1360,1597,2017,진주색,40007,자동,휘발유,SUV,0,전륜,1,0,국산차
기아 올 뉴 모닝 럭셔리,기아,모닝,670,998,2012,진주색,48280,자동,휘발유,경차,0,전륜,0,0,국산차
쉐보레(GM대우) 알페온 EL300 슈프림,쉐보레,알페온,900,2997,2012,은색,69377,자동,휘발유,대형차,0,전륜,0,0,국산차
쌍용 렉스턴 스포츠 디젤 2.2 4WD 노블레스,쌍용,렉스턴,2420,2157,2019,쥐색,41820,자동,경유,SUV,0,4륜,0,0,국산차
쉐보레(GM대우) 더 뉴 말리부 1.3 터보 프리미어 세부등급없음,쉐보레,말리부,2240,1341,2021,검정색,29856,자동,휘발유,중형차,0,전륜,0,0,국산차
현대 그랜드 스타렉스 5인승 밴 모던,현대,스타렉스,1690,2497,2018,은색,103491,자동,경유,승합차,0,전륜,0,0,국산차
제네시스 G90 가솔린 4WD 5.0 프레스티지,제네시스,제네시스,6800,5038,2019,검정색,76453,자동,휘발유,대형차,0,4륜,0,0,국산차
르노삼성 SM3 네오 SE 플러스,르노삼성,SM3,620,1598,2015,쥐색,93181,자동,휘발유,준중형차,0,전륜,0,0,국산차
BMW 5시리즈 (F10) 520d xDrive M 에어로 다이나믹,BMW,5시리즈,2620,1995,2016,흰색,116143,자동,경유,중형차,0,4륜,0,0,외제차
지프 레니게이드 2.4 리미티드,지프,레니게이드,2690,2360,2019,쥐색,22198,자동,휘발유,SUV,0,전륜,0,0,외제차
쌍용 티볼리 에어 가솔린 1.6 RX 2WD,쌍용,티볼리,1580,1597,2017,흰색,45533,자동,휘발유,SUV,0,전륜,0,0,국산차
쉐보레(GM대우) 크루즈 1.8 LTZ+,쉐보레,크루즈,670,1796,2014,검정색,54516,자동,휘발유,준중형차,0,전륜,1,0,국산차
현대 아반떼 MD M16 GDI 스마트,현대,아반떼,710,1591,2014,흰색,87805,자동,휘발유,준중형차,0,전륜,1,0,국산차
르노삼성 캡처 가솔린 1.3 에디션 파리,르노삼성,캡처,2090,1332,2020,흰색,40819,자동,휘발유,SUV,0,전륜,0,0,국산차
현대 쏘나타 뉴 라이즈 LPI 스타일,현대,쏘나타,1520,1999,2019,흰색,57424,자동,LPG,중형차,0,전륜,0,0,국산차
기아 K3 트렌디,기아,K3,790,1591,2014,은색,80545,자동,휘발유,준중형차,0,전륜,1,0,국산차
쉐보레(GM대우) 더 뉴 트랙스 1.4 프리미어,쉐보레,트랙스,1650,1362,2019,흰색,27164,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 올 뉴 프라이드 1.6 GDI 해치백 럭셔리,기아,프라이드,690,1591,2012,흰색,74199,자동,휘발유,소형차,0,전륜,0,0,국산차
쌍용 티볼리 아머 LX 2WD,쌍용,티볼리,1550,1597,2018,흰색,41223,자동,휘발유,SUV,0,전륜,0,0,국산차
르노삼성 SM7 노바 LE,르노삼성,SM7,1180,2495,2015,쥐색,69961,자동,휘발유,대형차,0,전륜,0,0,국산차
기아 더 뉴 K5 2세대 2.0 노블레스,기아,K5,1850,1999,2019,검정색,73769,자동,휘발유,중형차,0,전륜,0,0,국산차
BMW 5시리즈 (F10) 528i,BMW,5시리즈,2860,1997,2015,은색,37256,자동,휘발유,중형차,0,후륜,0,0,외제차
제네시스 G80 3.3 GDI AWD 프리미엄 럭셔리,제네시스,제네시스,3200,3342,2017,쥐색,64142,자동,휘발유,대형차,0,4륜,0,0,국산차
기아 더 뉴 쏘렌토 디젤 2.2 4WD 노블레스,기아,쏘렌토,2390,2199,2018,은색,83200,자동,경유,SUV,0,4륜,0,0,국산차
기아 스포티지 더 볼드 디젤 2.0 2WD 프레스티지,기아,스포티지,1650,1995,2019,쥐색,121821,자동,경유,SUV,0,전륜,0,0,국산차
쉐보레(GM대우) 더 뉴 말리부 1.3 터보 프리미어 세부등급없음,쉐보레,말리부,1850,1341,2019,흰색,40984,자동,휘발유,중형차,0,전륜,0,0,국산차
기아 더 뉴 쏘렌토 디젤 2.2 4WD 노블레스,기아,쏘렌토,2230,2199,2018,흰색,77020,자동,경유,SUV,0,4륜,1,0,국산차
BMW 5시리즈 (G30) 520i M 스포츠,BMW,5시리즈,5790,1998,2021,흰색,18137,자동,휘발유,중형차,0,후륜,0,0,외제차
현대 싼타페 더 프라임 디젤 2.2 2WD 프리미엄,현대,싼타페,1960,2199,2016,쥐색,53218,자동,경유,SUV,0,전륜,0,0,국산차
폭스바겐 더 파사트 2.0 TSI,폭스바겐,더 파사트,1990,1984,2018,흰색,52262,자동,휘발유,준중형차,0,전륜,0,0,외제차
기아 올 뉴 카니발 9인승 프레스티지,기아,카니발,1830,2199,2016,자주색,76468,자동,경유,RV,0,전륜,1,0,국산차
르노삼성 뉴SM3 LE 플러스,르노삼성,SM3,510,1598,2010,은색,57566,자동,휘발유,준중형차,0,전륜,0,0,국산차
미니 쿠퍼 (3세대) HIGH,미니,쿠퍼,2510,1499,2019,진주색,72347,자동,휘발유,소형차,0,전륜,0,0,외제차
기아 카니발 R 그랜드 카니발 President,기아,카니발,1080,2199,2011,흰색,54152,자동,경유,RV,0,전륜,0,0,국산차
현대 그랜저 IG 2.2 디젤 프리미엄 스페셜,현대,그랜저,2280,2199,2018,쥐색,81739,자동,경유,대형차,0,전륜,0,0,국산차
현대 팰리세이드 가솔린 3.8 4WD 프레스티지 (8인승),현대,팰리세이드,3920,3778,2019,쥐색,17134,자동,휘발유,SUV,0,4륜,0,0,국산차
르노삼성 뉴QM3 RE 세부등급 없음,르노삼성,QM3,1460,1461,2018,흰색,52587,자동,경유,SUV,0,전륜,0,0,국산차
아우디 A7 50 TDI 콰트로 프리미엄 4G,아우디,A7,3860,2967,2016,쥐색,83165,자동,경유,대형차,0,4륜,0,0,외제차
쌍용 렉스턴 스포츠 디젤 2.2 4WD 다이나믹 에디션,쌍용,렉스턴,2750,2157,2021,빨간색,36094,자동,경유,SUV,0,4륜,0,0,국산차
현대 에쿠스(신형) VS380 익스클루시브,현대,에쿠스,2230,3778,2013,검정색,108667,자동,휘발유,대형차,0,후륜,0,0,국산차
르노코리아(삼성) XM3 가솔린 터보 1.3 RE 시그니쳐,르노삼성,XM3,2300,1332,2020,진주색,18217,자동,휘발유,SUV,0,전륜,0,0,국산차
제네시스 G70 2.0T 엘리트,제네시스,제네시스,3250,1998,2019,은색,15400,자동,휘발유,중형차,0,4륜,0,0,국산차
현대 그랜저 IG 3.0 익스클루시브 스페셜,현대,그랜저,2330,2999,2018,흰색,88468,자동,휘발유,대형차,0,전륜,0,0,국산차
기아 더 뉴 K5 2세대 2.0 노블레스,기아,K5,1980,1999,2019,검정색,36617,자동,휘발유,중형차,0,전륜,0,0,국산차
쉐보레(GM대우) 트랙스 1.4 LT 래더패키지,쉐보레,트랙스,1050,1362,2015,빨간색,58757,자동,휘발유,SUV,0,전륜,0,0,국산차
르노삼성 All New SM7 RE 기본형,르노삼성,SM7,1050,2495,2014,흰색,76981,자동,휘발유,대형차,0,전륜,0,0,국산차
르노삼성 QM6 디젤 2WD RE 시그니처,르노삼성,QM6,1700,1995,2017,쥐색,104543,자동,경유,SUV,0,전륜,0,0,국산차
기아 올 뉴 카니발 9인승 노블레스,기아,카니발,2330,2199,2018,쥐색,64740,자동,경유,RV,0,전륜,0,0,국산차
쉐보레(GM대우) 더 뉴 트랙스 1.4 LT 코어,쉐보레,트랙스,1500,1362,2019,흰색,24618,자동,휘발유,SUV,0,전륜,1,0,국산차
쉐보레(GM대우) 이쿼녹스 2WD LT 플러스 익스클루시브,쉐보레,이쿼녹스,2390,1598,2019,흰색,31342,자동,경유,SUV,0,전륜,0,0,국산차
벤츠 E-클래스 W213 E300 4MATIC 익스클루시브,벤츠,E클래스,5150,1991,2018,검정색,62517,자동,휘발유,중형차,0,4륜,1,0,외제차
현대 LF 쏘나타 2.0 스마트 세부등급 없음,현대,쏘나타,1380,1999,2015,검정색,77587,자동,휘발유,중형차,0,전륜,0,0,국산차
기아 더 뉴 카니발 9인승 하이리무진 프레스티지,기아,카니발,3250,2199,2019,진주색,134747,자동,경유,RV,0,전륜,0,0,국산차
제네시스 G80 3.3 GDI 프리미엄 럭셔리,제네시스,제네시스,3750,3342,2019,검정색,57641,자동,휘발유,대형차,0,후륜,0,0,국산차
현대 더 뉴 코나 가솔린 터보 1.6 (N라인) 4WD 인스퍼레이션,현대,레이,2890,1598,2021,빨간색,2601,자동,휘발유,SUV,0,4륜,0,0,국산차
기아 더 뉴 K5 터보 GDI 프레스티지,기아,K5,1390,1998,2015,진주색,92076,자동,휘발유,중형차,0,전륜,0,0,국산차
BMW 6시리즈 GT (G32) 620d 럭셔리,BMW,6시리즈,5930,1995,2019,쥐색,26934,자동,경유,대형차,0,후륜,0,0,외제차
제네시스 G80 3.3 GDI AWD 프레스티지,제네시스,제네시스,4060,3342,2019,쥐색,55521,자동,휘발유,대형차,0,4륜,0,0,국산차
현대 포터2 CRDi 카고 초장축 더블캡  프리미엄,현대,포터,2030,2497,2019,흰색,19802,자동,경유,화물차,0,후륜,0,0,국산차
현대 팰리세이드 가솔린 3.8 2WD  캘리그래피 (7인승),현대,팰리세이드,4120,3778,2021,검정색,42369,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 더 뉴 쏘렌토 디젤 2.2 4WD 노블레스 스페셜,기아,쏘렌토,2990,2199,2018,진주색,30474,자동,경유,SUV,0,4륜,0,0,국산차
쌍용 G4 렉스턴 디젤 2.2 4WD 화이트 에디션,쌍용,렉스턴,3250,2157,2020,검정색,9406,자동,경유,SUV,0,4륜,0,0,국산차
BMW 5시리즈 (F10) 520d M 에어로 다이나믹,BMW,5시리즈,2700,1995,2016,흰색,89675,자동,경유,중형차,0,후륜,0,0,외제차
폭스바겐 티구안 2세대 2.0 TDI 프리미엄,폭스바겐,티구안,3170,1968,2020,흰색,16687,자동,경유,SUV,0,전륜,0,0,외제차
르노코리아(삼성) SM6 2.0 GDe RE,르노삼성,SM6,1520,1997,2016,흰색,63642,자동,휘발유,중형차,0,전륜,0,0,국산차
기아 더 뉴 카니발 9인승 노블레스 스페셜,기아,카니발,2960,2199,2019,쥐색,68702,자동,경유,RV,0,전륜,0,0,국산차
쌍용 G4 렉스턴 디젤 2.2 4WD 화이트 에디션,쌍용,렉스턴,3050,2157,2020,흰색,36729,자동,경유,SUV,0,4륜,0,0,국산차
BMW X1 (F48) xDrive 20i xLine,BMW,X1,4180,1998,2021,검정색,4979,자동,휘발유,SUV,0,4륜,0,0,외제차
현대 쏘나타 DN8 2.0 가솔린 프리미엄,현대,쏘나타,2250,1999,2020,검정색,44835,자동,휘발유,중형차,0,전륜,0,0,국산차
기아 올 뉴 카니발 9인승 럭셔리,기아,카니발,2120,2199,2018,검정색,73929,자동,경유,RV,0,전륜,0,0,국산차
기아 더 뉴 니로 노블레스 스폐셜,기아,니로,2820,1580,2020,진주색,43477,자동,하이브리드,SUV,0,전륜,0,0,국산차
BMW 5시리즈 (F10) 520d xDrive,BMW,5시리즈,2120,1995,2015,쥐색,124627,자동,경유,중형차,0,4륜,0,0,외제차
쉐보레(GM대우) 더 뉴 스파크 프리미어,쉐보레,스파크,1170,999,2021,진주색,13454,자동,휘발유,경차,0,전륜,0,0,국산차
렉서스 NX300h 슈프림,렉서스,NX300h,4090,2494,2018,검정색,38385,자동,하이브리드,SUV,0,4륜,0,0,외제차
쌍용 렉스턴 스포츠 칸 디젤 2.2 4WD (다이내믹 5링크) 노블레스,쌍용,렉스턴,2980,2157,2020,빨간색,35773,자동,경유,SUV,0,4륜,0,0,국산차
기아 더 뉴 K5 터보 GDI 노블레스,기아,K5,1310,1998,2015,검정색,70698,자동,휘발유,중형차,0,전륜,1,0,국산차
기아 더 뉴 모닝 럭셔리,기아,모닝,840,998,2016,진주색,36508,자동,휘발유,경차,0,전륜,0,0,국산차
벤츠 S-클래스 W222 S350L,벤츠,S클래스,8950,2996,2019,검정색,64343,자동,휘발유,대형차,0,후륜,0,0,외제차
현대 아반떼 AD 1.6 GDI 스마트 세부등급 없음,현대,아반떼,1250,1591,2017,쥐색,67228,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 모하비 더 마스터 디젤 3.0 4WD 마스터즈 7인승,기아,모하비,4670,2959,2021,진주색,34437,자동,경유,SUV,0,4륜,0,0,국산차
기아 올 뉴 카니발 9인승 프레스티지,기아,카니발,1820,2191,2016,흰색,114123,자동,경유,RV,0,전륜,0,0,국산차
벤츠 E-클래스 W213 E300 4MATIC 익스클루시브,벤츠,E클래스,5120,1991,2018,검정색,63324,자동,휘발유,중형차,0,4륜,0,0,외제차
기아 더 뉴 카니발 9인승 노블레스 스페셜,기아,카니발,3000,2199,2019,진주색,52104,자동,경유,RV,0,전륜,0,0,국산차
현대 i30(신형) 1.6 GDI 익스트림,현대,i30,790,1591,2012,빨간색,69612,자동,휘발유,준중형차,0,전륜,1,0,국산차
쉐보레(GM대우) 더 뉴 트랙스 1.4 프리미어,쉐보레,트랙스,1980,1399,2021,흰색,5326,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 더 뉴 레이 시그니처,기아,레이,1750,998,2021,흰색,1063,자동,휘발유,경차,0,전륜,0,0,국산차
현대 그랜저 HG HG240 모던,현대,그랜저,1220,2359,2013,흰색,98105,자동,휘발유,대형차,0,전륜,0,0,국산차
쉐보레(GM대우) 더 뉴 스파크 프리미어,쉐보레,스파크,1180,999,2021,검정색,3539,자동,휘발유,경차,0,전륜,0,0,국산차
기아 올 뉴 카렌스 1.7 VGT 프레스티지,기아,카렌스,980,1685,2014,쥐색,100699,자동,경유,RV,0,전륜,0,0,국산차
벤츠 A-클래스 W177 가솔린 2WD A220 해치백,벤츠,A클래스,3090,1991,2019,빨간색,12916,자동,휘발유,소형차,0,전륜,0,0,외제차
쉐보레(GM대우) 스파크 LT 기본형,쉐보레,스파크,530,995,2012,갈색,49116,자동,휘발유,경차,0,전륜,1,0,국산차
기아 K5 2세대 2.0 MX 프레스티지,기아,K5,1250,1999,2016,쥐색,112041,자동,휘발유,중형차,0,전륜,0,0,국산차
현대 i30(신형) 디젤 1.6 VGT 익스트림,현대,i30,740,1582,2013,은색,111834,자동,경유,준중형차,0,전륜,0,0,국산차
쉐보레(GM대우) 임팔라 3.6 LTZ,쉐보레,임팔라,1390,3564,2016,은색,139065,자동,휘발유,대형차,0,전륜,0,0,국산차
미니 쿠퍼 클럽맨(2세대) 기본형,미니,쿠퍼,2550,1499,2019,검정색,32635,자동,휘발유,소형차,0,전륜,0,0,외제차
현대 제네시스 DH G380 파이니스트 에디션 AWD,현대,제네시스,2830,3778,2015,보라색,81990,자동,휘발유,대형차,0,4륜,0,0,국산차
쌍용 티볼리 LX 2WD 고급형,쌍용,티볼리,1240,1597,2016,진주색,93907,자동,휘발유,SUV,0,전륜,0,0,국산차
쉐보레(GM대우) 올란도 LPG LT 프리미엄,쉐보레,올란도,960,1998,2015,쥐색,90369,자동,LPG,RV,0,전륜,0,0,국산차
르노삼성 SM6 2.0 GDe SE,르노삼성,SM6,1250,1997,2019,쥐색,32554,자동,휘발유,중형차,0,전륜,1,0,국산차
기아 더 뉴 스포티지 R 디젤 2WD 프레스티지,기아,스포티지,1080,1995,2014,흰색,161706,자동,경유,SUV,0,전륜,0,0,국산차
르노삼성 클리오 스틸,르노삼성,클리오,1270,1461,2019,검정색,60848,자동,경유,소형차,0,전륜,0,0,국산차
쉐보레(GM대우) 트랙스 1.4 퍼펙트 블랙,쉐보레,트랙스,1150,1362,2016,검정색,79923,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 더 뉴 K7 2.4 GDI 프레스티지 스페셜,기아,K7,1320,2359,2013,흰색,69125,자동,휘발유,대형차,0,전륜,0,0,국산차
현대 아반떼 AD 1.6 GDI 밸류 플러스,현대,아반떼,1430,1591,2018,은색,27266,자동,휘발유,준중형차,0,전륜,0,0,국산차
현대 그랜저 IG 3.0 익스클루시브 세부등급 없음,현대,그랜저,2450,2999,2019,검정색,49921,자동,휘발유,대형차,0,전륜,0,0,국산차
쉐보레(GM대우) 올란도 LPG LT 세이프티팩,쉐보레,올란도,1210,1998,2018,흰색,100460,자동,LPG,RV,0,전륜,0,0,국산차
현대 아반떼 AD 1.6 GDI 스마트 세부등급 없음,현대,아반떼,1440,1591,2018,흰색,20136,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 올 뉴 모닝 (JA) 프레스티지,기아,모닝,1130,998,2018,흰색,15784,자동,휘발유,경차,0,전륜,0,0,국산차
BMW 5시리즈 (F10) 520d M 에어로 다이나믹,BMW,5시리즈,2340,1995,2016,은색,105672,자동,경유,중형차,0,후륜,1,0,외제차
기아 올 뉴 K7 2.4 GDI 리미티드,기아,K7,1990,2359,2018,검정색,79688,자동,휘발유,대형차,0,전륜,0,0,국산차
기아 더 뉴 쏘렌토 디젤 2.2 2WD 마스터,기아,쏘렌토,2800,2199,2019,검정색,35919,자동,경유,SUV,0,전륜,1,0,국산차
현대 제네시스 BH330 그랜드 프라임팩,현대,제네시스,780,3342,2009,은회색,93689,자동,휘발유,대형차,0,후륜,0,0,국산차
쉐보레(GM대우) 트레일블레이저 1.3 가솔린 터보 4WD RS,쉐보레,레이,2740,1341,2021,흰색,26313,자동,휘발유,SUV,0,4륜,0,0,국산차
현대 싼타페 CM 2WD(2.0 e-VGT) MLX 럭셔리,현대,싼타페,730,1995,2011,은색,108335,자동,경유,SUV,0,전륜,1,0,국산차
르노삼성 QM6 가솔린 2WD RE,르노삼성,QM6,2080,1997,2018,진주색,52137,자동,휘발유,SUV,0,전륜,0,0,국산차
현대 제네시스 BH330 럭셔리 기본형,현대,제네시스,970,3342,2010,은색,66111,자동,휘발유,대형차,0,후륜,0,0,국산차
쉐보레(GM대우) 스파크 LS+,쉐보레,스파크,680,995,2015,쥐색,24020,자동,휘발유,경차,0,전륜,0,0,국산차
쉐보레(GM대우) 트랙스 1.4 LTZ,쉐보레,트랙스,980,1362,2016,흰색,95261,자동,휘발유,SUV,0,전륜,1,0,국산차
현대 그랜저 IG 하이브리드 익스클루시브 세부등급 없음,현대,그랜저,3200,2359,2019,검정색,45035,자동,하이브리드,대형차,0,전륜,0,0,국산차
쉐보레(GM대우) 더 뉴 말리부 1.3 터보 레드라인 프리미어 세부등급없음,쉐보레,말리부,2420,1341,2021,검정색,22706,자동,휘발유,중형차,0,전륜,0,0,국산차
벤츠 E-클래스 W213 E450 4MATIC 쿠페,벤츠,E클래스,8760,2999,2021,검정색,15386,자동,휘발유,중형차,0,4륜,0,0,외제차
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,현대,그랜저,2090,2359,2017,검정색,76249,자동,휘발유,대형차,0,전륜,0,0,국산차
재규어 XE 20d 프레스티지 AWD,재규어,XE,2050,1999,2017,흰색,61623,자동,경유,준중형차,0,4륜,0,0,외제차
쉐보레(GM대우) 더 뉴 말리부 1.3 터보 LS 디럭스,쉐보레,말리부,1580,1341,2019,검정색,42012,자동,휘발유,중형차,0,전륜,0,0,국산차
르노삼성 SM7 노바 LPLI 2.0 LPe 프리미엄컬렉션,르노삼성,SM7,1260,1998,2017,흰색,99501,자동,LPG,대형차,0,전륜,0,0,국산차
현대 더 뉴 아반떼 AD 1.6 스마트,현대,아반떼,1750,1598,2020,쥐색,19309,자동,휘발유,준중형차,0,전륜,0,0,국산차
현대 LF 쏘나타 2.0 터보 익스클루시브,현대,쏘나타,1670,1998,2015,쥐색,90581,자동,휘발유,중형차,0,전륜,0,0,국산차
현대 쏘나타 뉴 라이즈 2.0 모던,현대,쏘나타,1850,1999,2018,쥐색,40421,자동,휘발유,중형차,0,전륜,0,0,국산차
르노삼성 SM7 노바 LPLI 2.0 LPe 세부등급없음,르노삼성,SM7,1380,1998,2017,검정색,48008,자동,LPG,대형차,0,전륜,0,0,국산차
기아 더 뉴 K5 2세대 2.0 럭셔리,기아,K5,1330,1999,2019,은색,92729,자동,휘발유,중형차,0,전륜,0,0,국산차
벤츠 E-클래스 W212 E220 블루텍 아방가르드,벤츠,E클래스,2600,2143,2016,흰색,85538,자동,경유,중형차,0,후륜,0,0,외제차
기아 스포티지 4세대 가솔린 2.0 2WD 노블레스,기아,스포티지,1980,1999,2018,쥐색,61237,자동,휘발유,SUV,0,전륜,0,0,국산차
현대 쏘나타 뉴 라이즈 2.0 모던,현대,쏘나타,1880,1999,2018,흰색,76657,자동,휘발유,중형차,0,전륜,0,0,국산차
쉐보레(GM대우) 스파크 LT 기본형,쉐보레,스파크,590,995,2015,빨간색,54057,자동,휘발유,경차,0,전륜,0,0,국산차
현대 올 뉴 투싼 디젤 1.7 2WD 모던,현대,투싼,1470,1685,2016,검정색,91829,자동,경유,SUV,0,전륜,0,0,국산차
벤츠 E-클래스 W213 E450 4MATIC 쿠페,벤츠,E클래스,8760,2999,2021,검정색,15386,자동,휘발유,중형차,0,4륜,0,0,외제차
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,현대,그랜저,2090,2359,2017,검정색,76249,자동,휘발유,대형차,0,전륜,0,0,국산차
재규어 XE 20d 프레스티지 AWD,재규어,XE,2050,1999,2017,흰색,61623,자동,경유,준중형차,0,4륜,0,0,외제차
쉐보레(GM대우) 더 뉴 말리부 1.3 터보 LS 디럭스,쉐보레,말리부,1580,1341,2019,검정색,42012,자동,휘발유,중형차,0,전륜,0,0,국산차
르노삼성 SM7 노바 LPLI 2.0 LPe 프리미엄컬렉션,르노삼성,SM7,1260,1998,2017,흰색,99501,자동,LPG,대형차,0,전륜,0,0,국산차
현대 더 뉴 아반떼 AD 1.6 스마트,현대,아반떼,1750,1598,2020,쥐색,19309,자동,휘발유,준중형차,0,전륜,0,0,국산차
현대 LF 쏘나타 2.0 터보 익스클루시브,현대,쏘나타,1670,1998,2015,쥐색,90581,자동,휘발유,중형차,0,전륜,0,0,국산차
현대 쏘나타 뉴 라이즈 2.0 모던,현대,쏘나타,1850,1999,2018,쥐색,40421,자동,휘발유,중형차,0,전륜,0,0,국산차
르노삼성 SM7 노바 LPLI 2.0 LPe 세부등급없음,르노삼성,SM7,1380,1998,2017,검정색,48008,자동,LPG,대형차,0,전륜,0,0,국산차
기아 더 뉴 K5 2세대 2.0 럭셔리,기아,K5,1330,1999,2019,은색,92729,자동,휘발유,중형차,0,전륜,0,0,국산차
벤츠 E-클래스 W212 E220 블루텍 아방가르드,벤츠,E클래스,2600,2143,2016,흰색,85538,자동,경유,중형차,0,후륜,0,0,외제차
기아 스포티지 4세대 가솔린 2.0 2WD 노블레스,기아,스포티지,1980,1999,2018,쥐색,61237,자동,휘발유,SUV,0,전륜,0,0,국산차
현대 쏘나타 뉴 라이즈 2.0 모던,현대,쏘나타,1880,1999,2018,흰색,76657,자동,휘발유,중형차,0,전륜,0,0,국산차
쉐보레(GM대우) 스파크 LT 기본형,쉐보레,스파크,590,995,2015,빨간색,54057,자동,휘발유,경차,0,전륜,0,0,국산차
현대 올 뉴 투싼 디젤 1.7 2WD 모던,현대,투싼,1470,1685,2016,검정색,91829,자동,경유,SUV,0,전륜,0,0,국산차
현대 더 뉴 아반떼 1.6 GDi 모던 기본형,현대,아반떼,990,1591,2014,은색,47162,자동,휘발유,준중형차,0,전륜,0,0,국산차
아우디 뉴 A6 (C7) 40 TFSI C7,아우디,A6,3330,1984,2018,청색,37380,자동,휘발유,중형차,0,전륜,0,0,외제차
벤츠 GLE-클래스 W166 GLE350 d 4MATIC 프리미엄,벤츠,E클래스,5690,2987,2018,검정색,96606,자동,경유,SUV,0,4륜,0,0,외제차
쉐보레(GM대우) 어메이징 뉴 크루즈 1.4 터보 LT 디럭스팩,쉐보레,크루즈,770,1362,2016,쥐색,93514,자동,휘발유,준중형차,0,전륜,0,0,국산차
르노삼성 XM3 가솔린 터보 1.3 RE 시그니쳐,르노삼성,XM3,2250,1332,2020,흰색,18743,자동,휘발유,SUV,0,전륜,0,0,국산차
현대 더 뉴 그랜저 하이브리드 가솔린 2.4 하이브리드 익스클루시브,현대,그랜저,3980,2359,2020,검정색,24704,자동,하이브리드,대형차,0,전륜,0,0,국산차
기아 모하비 더 마스터 디젤 3.0 4WD 마스터즈 6인승,기아,모하비,4690,2959,2020,검정색,10597,자동,경유,SUV,0,4륜,0,0,국산차
제네시스 G70 2.0T AWD 슈프림,제네시스,제네시스,3290,1998,2018,쥐색,51856,자동,휘발유,중형차,0,4륜,0,0,국산차
기아 올 뉴 카니발 9인승 프레스티지,기아,카니발,1910,2199,2016,흰색,97891,자동,경유,RV,0,전륜,1,0,국산차
쌍용 티볼리 에어 가솔린 1.6 RX 2WD,쌍용,티볼리,1480,1597,2017,청색,45104,자동,휘발유,SUV,0,전륜,0,0,국산차
현대 그랜드 스타렉스 5인승 밴 스마트,현대,스타렉스,1820,2497,2018,흰색,42727,자동,경유,승합차,0,후륜,0,0,국산차
현대 더 뉴 아반떼 1.6 GDi 스마트 기본형,현대,아반떼,730,1591,2015,은색,111025,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 모닝 어반 가솔린 1.0 시그니쳐 엣지-UP,기아,모닝,1540,998,2021,검정색,20087,자동,휘발유,경차,0,전륜,0,0,국산차
미니 쿠퍼 (3세대) 5도어 S 기본형,미니,쿠퍼,3050,1998,2019,검정색,28678,자동,휘발유,소형차,0,전륜,0,0,외제차
기아 올 뉴 K7 3.0 GDI 노블레스,기아,K7,2480,2999,2019,검정색,45906,자동,휘발유,대형차,0,전륜,0,0,국산차
현대 싼타페 TM 디젤 2.0 2WD 프레스티지,현대,싼타페,2850,1995,2019,쥐색,60243,자동,경유,SUV,0,전륜,0,0,국산차
현대 아반떼 MD M16 GDI 프리미어,현대,아반떼,770,1591,2011,흰색,89062,자동,휘발유,준중형차,0,전륜,0,0,국산차
현대 엑센트(신형) 1.6 GDI 탑,현대,엑센트,670,1591,2011,흰색,74130,자동,휘발유,소형차,0,전륜,1,0,국산차
르노삼성 SM6 1.6 TCe RE,르노삼성,SM6,1670,1618,2016,쥐색,62932,자동,휘발유,중형차,0,전륜,0,0,국산차
현대 아반떼 AD 1.6 e-VGT 스마트 스페셜,현대,아반떼,1310,1582,2016,흰색,57622,자동,경유,준중형차,0,전륜,0,0,국산차
벤츠 E-클래스 W212 E300 엘레강스,벤츠,E클래스,1320,3498,2011,흰색,117227,자동,휘발유,중형차,0,후륜,0,0,외제차
현대 엑센트(신형) 1.4 VVT 모던,현대,엑센트,750,1368,2016,흰색,68188,자동,휘발유,소형차,0,전륜,0,0,국산차
현대 포터2 CRDi 카고 초장축 더블캡  프리미엄,현대,포터,2230,2497,2022,흰색,18518,자동,경유,화물차,0,후륜,0,0,국산차
쉐보레(GM대우) 더 뉴 트랙스 1.4 프리미어,쉐보레,트랙스,1690,1362,2019,빨간색,7856,자동,휘발유,SUV,0,전륜,0,0,국산차
쉐보레(GM대우) 트랙스 1.4 LTZ,쉐보레,트랙스,1190,1362,2015,흰색,65025,자동,휘발유,SUV,0,전륜,0,0,국산차
현대 LF 쏘나타 2.0 스마트 세부등급 없음,현대,쏘나타,1320,1999,2017,흰색,104261,자동,휘발유,중형차,0,전륜,0,0,국산차
제네시스 EQ900 5.0 GDI AWD 프레스티지,제네시스,제네시스,4420,5038,2016,검정색,65919,자동,휘발유,대형차,0,4륜,0,0,국산차
기아 스포티지 4세대 디젤 2.0 2WD 노블레스 플러스,기아,스포티지,2100,1995,2018,진주색,45075,자동,경유,SUV,0,전륜,0,0,국산차
쉐보레(GM대우) 더 뉴 트랙스 1.4 프리미어,쉐보레,트랙스,1620,1362,2019,흰색,22336,자동,휘발유,SUV,0,전륜,1,0,국산차
